"city_id";"city_name";"country";"region"
1;"Cairo";"Egypt";"Africa"
2;"Cape Town";"South Africa";"Africa"
3;"Lagos";"Nigeria";"Africa"
4;"Nairobi";"Kenya";"Africa"
5;"Johannesburg";"South Africa";"Africa"
6;"Casablanca";"Morocco";"Africa"
7;"Atlanta";"United States";"North America"
8;"Buenos Aires";"Argentina";"South America"
9;"Caracas";"Venezuela";"South America"
10;"Chicago";"United States";"North America"
11;"Dallas";"United States";"North America"
12;"Guadalajara";"Mexico";"North America"
13;"Honolulu";"United States";"North America"
14;"Jacksonville";"United States";"North America"
15;"Los Angeles";"United States";"North America"
16;"Miami";"United States";"North America"
17;"Medellin";"Colombia";"South America"
18;"Montreal";"Canada";"North America"
19;"New York";"United States";"North America"
20;"Ottawa";"Canada";"North America"
21;"Santiago";"Chile";"South America"
22;"Rio de Janeiro";"Brazil";"South America"
23;"Mexico City";"Mexico";"North America"
24;"Tampa";"United States";"North America"
25;"Toronto";"Canada";"North America"
26;"Vancouver";"Canada";"North America"
27;"Sao Paulo";"Brazil";"South America"
28;"Bali";"Indonesia";"Southeast Asia"
29;"Bangkok";"Thailand";"Southeast Asia"
30;"Beijing";"China";"Far East"
31;"Chiang Mai";"Thailand";"Southeast Asia"
32;"Delhi";"India";"South Asia"
33;"Dhaka";"Bangladesh";"South Asia"
34;"Dubai";"United Arab Emirates";"Middle East"
35;"Hanoi";"Vietnam";"Southeast Asia"
36;"Ho Chi Minh City";"Vietnam";"Southeast Asia"
37;"Istanbul";"Turkey";"Middle East"
38;"Jakarta";"Indonesia";"Southeast Asia"
39;"Jerusalem";"Israel";"Middle East"
40;"Tel Aviv-Yafo";"Israel";"Middle East"
41;"Abu Dhabi";"United Arab Emirates";"Middle East"
42;"Riyadh";"Saudi Arabia";"Middle East"
43;"Tehran";"Iran";"Middle East"
44;"Islamabad";"Pakistan";"South Asia"
45;"Kuala Lumpur";"Malaysia";"Southeast Asia"
46;"Manila";"Philippines";"Southeast Asia"
47;"Mumbai";"India";"South Asia"
48;"Colombo";"Sri Lanka";"South Asia"
49;"Phuket";"Thailand";"Southeast Asia"
50;"Seoul";"South Korea";"Far East"
51;"Shanghai";"China";"Far East"
52;"Singapore";"Singapore";"Southeast Asia"
53;"Taipei";"Taiwan";"Far East"
54;"Tokyo";"Japan";"Far East"
55;"Zurich";"Switzerland";"Western Europe"
56;"Oslo";"Norway";"Northern Europe"
57;"Reykjavik";"Iceland";"Northern Europe"
58;"Copenhagen";"Denmark";"Northern Europe"
59;"London";"United Kingdom";"Northern Europe"
60;"Amsterdam";"Netherlands";"Western Europe"
61;"Paris";"France";"Western Europe"
62;"Stockholm";"Sweden";"Northern Europe"
63;"Dublin";"Ireland";"Northern Europe"
64;"Helsinki";"Finland";"Northern Europe"
65;"Munich";"Germany";"Western Europe"
66;"Milan";"Italy";"Southern Europe"
67;"Bristol";"United Kingdom";"Northern Europe"
68;"Brussels";"Belgium";"Western Europe"
69;"Manchester";"United Kingdom";"Northern Europe"
70;"Liverpool";"United Kingdom";"Northern Europe"
71;"Berlin";"Germany";"Western Europe"
72;"Florence";"Italy";"Southern Europe"
73;"Rome";"Italy";"Southern Europe"
74;"Vienna";"Austria";"Western Europe"
75;"Naples";"Italy";"Southern Europe"
76;"Madrid";"Spain";"Southern Europe"
77;"Barcelona";"Spain";"Southern Europe"
78;"Athens";"Greece";"Southern Europe"
79;"Valencia";"Spain";"Southern Europe"
80;"Prague";"Czech Republic";"Eastern Europe"
81;"Lisbon";"Portugal";"Southern Europe"
82;"Porto";"Portugal";"Southern Europe"
83;"Sofia";"Bulgaria";"Eastern Europe"
84;"Bucharest";"Romania";"Eastern Europe"
85;"Warsaw";"Poland";"Eastern Europe"
86;"Moscow";"Russia";"Eastern Europe"
87;"Budapest";"Hungary";"Eastern Europe"
88;"Belgrade";"Serbia";"Eastern Europe"
89;"Saint Petersburg";"Russia";"Eastern Europe"
90;"Sydney";"Australia";"Oceania"
91;"Auckland";"New Zealand";"Oceania"
92;"Melbourne";"Australia";"Oceania"
93;"Suva";"Fiji";"Oceania"
94;"Kathmandu";"Nepal";"South Asia"
95;"Wellington";"New Zealand";"Oceania"
96;"Hong Kong";"China";"Far East"
97;"Osaka";"Japan";"Far East"
98;"Quito";"Ecuador";"South America"
99;"Lima";"Peru";"South America"
