"update_id";"fit_club_one_month";"tennis_court_one_hr";"cinema_ticket_one_seat"
5;20.44;7.65;3.88
12;35.33;8.32;5.44
19;39.74;9.0;7.52
26;42.94;15.61;5.72
33;34.66;9.04;6.09
40;25.33;26.62;6.46
47;44.84;24.49;15.0
54;21.81;6.9;4.5
61;52.85;14.71;6.0
68;66.94;10.71;15.0
75;46.75;16.93;13.0
82;33.8;21.65;4.95
89;50.64;38.33;15.0
96;27.8;7.24;14.0
103;47.29;9.78;15.0
110;48.24;20.29;15.0
117;24.68;13.01;3.6
124;30.87;13.18;11.25
131;112.46;37.86;18.75
138;57.71;30.87;13.51
145;43.68;17.68;7.74
152;28.88;62.29;8.31
159;52.41;22.01;5.25
166;28.89;25.82;15.0
173;48.77;19.26;11.25
180;44.19;11.76;13.32
187;29.88;37.95;8.31
194;53.83;10.46;3.17
201;54.56;10.3;7.61
208;57.68;32.14;9.78
215;35.84;7.18;5.74
222;21.46;8.23;4.87
229;16.63;13.69;4.58
236;73.66;36.08;13.07
243;24.96;9.29;4.25
250;31.7;12.6;4.25
257;37.35;11.31;4.22
264;29.37;13.33;3.34
271;74.65;41.94;12.23
278;78.09;18.76;12.51
285;74.11;36.68;12.25
292;104.27;47.68;17.33
299;19.81;15.73;1.5
306;17.47;3.09;3.09
313;42.25;7.31;4.32
320;44.22;6.49;6.25
327;22.01;11.99;4.26
334;12.56;5.1;3.13
341;50.25;11.49;7.47
348;62.53;18.15;11.32
355;62.93;16.2;8.38
362;113.6;12.66;10.8
369;39.73;15.9;10.4
376;61.01;19.02;12.74
383;105.14;45.95;22.14
390;43.37;28.41;16.0
397;64.35;41.62;13.62
404;44.45;26.64;17.44
411;65.36;16.33;15.19
418;40.97;22.82;14.08
425;38.53;17.81;13.27
432;45.64;35.84;14.0
439;49.83;21.86;13.0
446;38.26;28.74;16.74
453;49.8;27.49;13.54
460;67.48;29.89;10.83
467;38.08;14.77;10.13
474;33.19;23.97;13.0
481;36.87;12.82;11.71
488;32.81;15.19;12.66
495;42.57;21.92;13.0
502;58.9;23.02;10.83
509;58.41;19.33;9.75
516;32.1;18.14;11.92
523;48.07;19.68;9.48
530;38.89;11.23;9.75
537;48.39;23.65;9.75
544;47.8;26.66;9.21
551;39.58;11.17;8.67
558;64.21;19.34;11.39
565;42.9;11.48;8.12
572;37.6;14.85;7.58
579;32.53;15.93;8.31
586;46.31;19.49;7.65
593;35.64;19.28;7.28
600;36.73;25.22;5.93
607;53.22;15.33;7.25
614;31.81;17.02;6.82
621;29.18;20.96;4.75
628;66.23;17.82;17.02
635;51.46;18.14;13.59
642;51.37;16.31;14.98
649;26.4;5.66;3.62
656;26.1;8.42;3.8
663;41.75;19.03;12.35
670;77.04;8.98;12.78
677;57.02;18.49;13.45
684;40.19;13.5;6.0
691;35.6;13.58;6.87
