"update_id";"cheap_meal_for_one";"meal_for_two";"mcdonalds_meal";"domestic_beer";"imported_beer";"cappuccino";"coke_or_pepsi";"water"
1;3.24;19.42;4.53;1.62;2.51;1.74;0.26;0.16
8;8.16;35.37;4.08;2.18;2.45;1.77;0.84;0.66
15;4.3;45.65;6.72;1.07;1.72;3.21;0.41;0.27
22;4.29;29.27;5.36;1.79;2.69;2.09;0.48;0.4
29;9.11;38.09;4.35;1.96;2.04;1.77;0.83;0.64
36;3.97;24.83;6.46;2.98;3.97;2.05;0.51;0.35
43;15.0;75.0;9.0;6.0;7.0;4.74;2.13;1.83
50;7.0;28.0;5.0;2.0;3.0;1.72;1.05;0.92
57;9.5;55.0;10.0;1.5;3.0;1.94;1.31;0.95
64;20.0;80.0;10.0;7.0;8.0;5.31;2.58;2.08
71;20.0;75.0;9.0;5.0;7.5;4.98;2.46;1.63
78;8.74;43.72;7.14;2.19;3.64;2.9;1.13;0.77
85;20.0;80.0;12.0;8.0;8.5;5.38;2.45;2.05
92;17.0;80.0;9.89;5.0;6.12;4.65;2.39;1.81
99;23.0;100.0;10.5;8.0;9.0;5.44;2.88;2.27
106;25.0;105.0;10.0;6.0;8.0;4.58;2.29;1.96
113;4.79;23.97;5.99;1.2;2.16;1.34;0.83;0.64
120;17.26;75.03;10.5;5.63;6.38;3.52;1.83;1.42
127;25.0;100.0;12.0;8.0;10.0;5.38;2.7;2.15
134;19.88;75.03;9.29;6.0;6.75;4.17;2.41;1.76
141;11.23;49.93;9.99;3.99;4.99;3.29;1.61;1.28
148;7.27;31.14;7.27;2.08;3.11;1.86;1.25;0.83
155;8.74;48.09;7.29;2.91;4.52;3.07;1.24;0.88
162;20.0;84.0;10.5;6.5;8.0;4.96;2.3;1.8
169;16.51;86.29;9.75;6.0;6.44;3.76;2.04;1.57
176;18.76;82.53;9.75;5.63;6.75;4.09;2.18;1.92
183;8.31;41.53;7.27;2.49;3.74;1.91;1.32;0.91
190;1.67;23.37;4.01;3.34;4.34;2.18;1.43;1.95
