"update_id";"local_transit_one_way";"monthly_transit_pass";"taxi_base_fare";"taxi_one_km";"taxi_one_hr";"gasoline_one_liter";"volkswagen_golf";"toyota_corolla"
3;0.26;11.33;0.32;0.14;0.97;0.33;29125.08;26482.64
10;1.09;30.52;1.09;0.68;2.61;1.31;17412.87;20610.75
17;0.86;32.69;1.45;2.15;4.83;0.39;17185.82;32223.42
24;0.71;31.55;1.43;1.07;2.07;1.25;15368.12;16781.66
31;1.63;70.74;1.36;0.93;3.06;1.33;19045.33;20526.29
38;0.7;22.84;0.79;0.74;7.95;1.49;25823.2;22961.59
45;2.5;95.0;2.62;2.02;24.0;0.88;28950.0;23206.9
52;0.15;6.8;1.0;0.45;5.0;0.93;22498.37;22325.21
59;0.35;30.0;4.5;1.5;10.0;0.5;32000.0;38285.71
66;2.5;80.0;3.5;2.11;30.0;1.15;23200.0;25558.33
73;2.5;90.0;4.5;1.22;21.0;0.9;24595.0;23421.75
80;0.58;20.4;2.33;0.58;11.66;1.35;19234.93;23295.4
87;3.0;80.0;3.5;2.21;48.0;1.32;28000.0;22899.62
94;1.75;47.5;3.0;1.34;17.5;0.9;25000.0;24504.17
101;1.75;95.0;4.0;1.71;29.0;1.34;25000.0;24587.5
108;2.25;111.0;3.5;1.24;25.0;0.92;25000.0;24222.22
115;0.68;35.95;1.2;1.56;6.71;0.61;18695.09;24567.27
122;2.63;70.53;3.08;1.31;33.2;1.22;23259.72;19542.7
129;2.75;129.0;4.5;1.86;30.0;1.13;25000.0;24965.67
136;2.81;94.16;3.38;2.06;28.14;1.28;20258.47;19319.92
143;1.0;49.93;0.44;1.25;10.86;1.67;18593.65;21460.84
150;0.93;54.19;1.25;1.14;10.38;1.3;19058.2;29130.99
157;0.35;19.82;1.05;0.52;8.74;1.38;23315.07;23452.49
164;3.5;75.0;3.88;2.49;50.0;0.94;24000.0;24842.88
171;2.48;117.05;3.35;1.31;23.26;1.13;22509.41;20869.91
178;2.33;90.04;3.0;1.5;29.26;1.37;22509.41;20314.74
