"update_id";"all_basic";"prepaid_mobile_one_min";"internet_sixty_mbps"
4;26.01;9.71;12.68
11;74.73;29.66;42.88
18;30.12;10.74;51.0
25;25.39;14.3;42.57
32;114.8;29.66;44.72
39;38.81;9.83;35.24
46;197.03;43.0;70.77
53;44.32;24.22;23.09
60;13.68;15.0;41.43
67;165.79;44.4;69.56
74;205.72;43.0;75.35
81;47.87;24.42;32.67
88;314.45;43.0;65.53
95;149.91;43.0;67.08
102;170.2;49.4;72.97
109;155.5;43.0;63.7
116;66.84;7.43;24.91
123;74.67;41.27;45.06
130;170.86;44.5;73.52
137;170.81;41.27;62.98
144;167.37;13.72;27.09
151;109.22;25.33;21.44
158;53.98;24.42;29.94
165;189.96;43.0;69.03
172;152.37;41.27;56.68
179;107.24;42.02;67.31
186;69.78;21.56;23.17
193;46.01;2.14;28.19
200;81.89;15.33;15.6
207;57.48;17.89;19.59
214;54.7;15.33;19.88
221;59.56;3.64;7.55
228;35.64;7.32;19.42
235;193.7;62.11;92.74
242;75.53;6.33;9.24
249;71.84;6.33;12.38
256;67.74;6.47;9.56
263;90.8;3.04;30.46
270;159.19;13.62;25.77
277;243.16;13.62;28.65
284;181.79;61.26;107.86
291;89.69;36.37;71.38
298;21.0;1.6;13.42
305;83.52;3.07;15.58
312;47.09;8.64;24.31
319;114.07;44.65;34.08
326;44.38;4.05;8.72
333;34.03;6.27;12.49
340;87.34;15.33;14.95
347;191.12;53.87;23.88
354;65.1;17.89;16.73
361;167.17;13.52;34.52
368;103.66;38.98;26.53
375;173.1;28.88;32.15
382;317.21;76.4;61.05
389;213.95;46.96;42.67
396;89.53;21.72;63.3
403;225.93;21.66;36.92
410;394.16;16.28;38.83
417;226.88;29.79;43.99
424;211.4;34.65;33.06
431;126.2;27.9;33.03
438;263.28;21.67;58.37
445;112.99;29.24;19.92
452;330.93;38.95;39.58
459;239.05;16.24;29.94
466;280.7;14.31;40.25
473;231.82;21.65;56.22
480;279.35;14.31;36.11
487;290.83;14.31;40.52
494;373.86;43.28;42.99
501;274.81;16.24;28.17
508;234.02;16.24;29.74
515;243.66;25.06;31.92
522;199.01;16.24;31.12
529;150.86;20.99;32.22
536;184.91;21.67;39.72
543;252.75;22.39;33.52
550;143.72;21.67;31.03
557;335.72;33.12;25.04
564;133.06;20.04;42.61
571;122.6;17.75;37.76
578;134.06;17.8;13.15
585;144.79;7.59;9.22
592;281.57;15.76;14.24
599;116.21;10.87;6.2
606;157.47;29.8;15.73
613;162.64;13.85;26.75
620;104.17;11.75;6.32
627;181.15;30.07;58.07
634;149.28;40.14;53.06
641;183.14;27.8;56.72
648;45.31;15.84;18.1
655;28.0;4.84;12.1
662;175.75;40.14;58.14
669;207.99;15.97;22.21
676;133.77;28.88;29.79
683;37.14;12.0;36.28
690;76.25;10.96;29.97
