Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Business Analyst,-1,"BUSINESS ANALYST Vancouver, Canada (preferred) or Remote across North America in Pacific Time zoneRentMoola is a multi-award-winning platform and one of the fastest-growing fintech companies in North America. RentMoola empowers tenants to take control of their finances and landlords to mitigate risks through a simple, integrated, and secure solution that is powered by a diverse ecosystem of global partners.LetUs By RentMoola builds a cohesive community between landlord and tenants and brings eCommerce flexibility, convenience, and inclusivity to the rental industry. The company is disrupting the space by providing access to liquidity with its “Rent Now, Pay Later” and 0% interest consumer credit solutions. To date, RentMoola has processed billions of dollars and millions of transactions in rent and utilities payments. The company supports over 260 Large Landlords/Property Managers and half a million units through their client base and API partnerships.THE ROLEAs a Business Analyst, you must be a self-starter who has experience working in a SaaS environment. A track record of strong communication whilst working with business stakeholders to understand business needs, drivers, and direction in order to align initiatives appropriately into releases. This role will be working in the Pacific Time Zone (PST).KEY RESPONSIBILITIESDeliver the roadmap:· Develop business expertise in the payment and property management areas.· Gather business requirements, perform user research, and lead the documentation process.· Drive the progress of epics and features into user stories in narrative and visual formats.· Work closely with the Product Managers, Developers and QA to develop, monitor, and manage the progress of feature development and deployments to production.· Communicate project status to the Product Manager.Product/Feature ownership:· Act as the main point of contact for production issues in your respective area (identifying root causes and solutions)Product Success Measurement:· Occasionally communicate with clients for feedback regarding product success, product usability, product merge efficiency and to identify product enhancement opportunities.Support internal stakeholders:· Work with cross-functional teams and clients to support the go to market strategy.REQUIRED QUALIFICATION & SKILLS· Bachelor's Degree in Finance, Accounting, Computer Science or Management Information System.· 1-3 years’ experience as a Business Analyst in a SaaS environment.· 1-3 years’ experience gathering requirements, conducting testing, and deploying new product.· 1-3 years’ experience connecting designers, engineers, and QA, keeping all contributors on track for the product roadmap.· Passion for using technology to provide business solutions.· Experience with software development in property management technology (Proptech) or Fintech is a plus.· You have strong analytical skills and able to understand and interpret the underlying matters.· Effective communication skills, both verbal and written.· Desire to work with teams in multiple countries and across time zones.· Fluency in English.WHY WORK WITH RENTMOOLA?· Make your mark! Enhance your skills and fast-track your career within this high growth role.· Get rewarded for your wins. Earn a competitive salary and performance-based commissions plus generous benefits and paid time off.· Join a thriving team of driven and talented problem-solvers dedicated to a mission of changing the current landscape of online payments solutions within our industry.Job Types: Full-time, PermanentAdditional pay:Bonus payBenefits:Dental careExtended health careLife insurancePaid time offVision careWork from homeSchedule:8 hour shiftMonday to FridayApplication question(s):Please share the link of your LinkedIn profile. (Mandatory)Education:Bachelor's Degree (required)Language:English at a professional level (required)",-1,RentMoola,Vancouver,-1,-1,-1,-1,-1,-1,-1,-1
Business Analyst,-1,"Entity: DoctorCare

Position: Business Analyst

Type: Full Time

Location: Toronto, ON (In-Office or Work from Home)


Company Overview:

DoctorCare is a part of the WELL Health Technologies Corp. (TSX:WELL) family and is a group of clinicians and business professionals dedicated to improving healthcare in Canada. DoctorCare is the only provider focused exclusively on helping Primary Care Physicians enhance patient care, run better businesses – and improve their own quality of life. Our services focus on enhancing billing and practice management while helping 1,200+ family doctors improve the lives of more than 1.5 million patients.

More information about us: https://www.doctorcare.ca/, https://www.well.company/
Position Overview:
DoctorCare is looking for a Business Analyst to play a key role as we implement our technology and services into Canadian Hospitals.

As a member of the Special Projects team, the Business Analyst will require the same high degree of business acumen and entrepreneurial drive that helped us get where we are today. We have been tremendously successful in our current markets and are looking for growth in new provinces, strategic acquisitions, and other complementary business lines.

As the Business Analyst, you will work closely with DoctorCare’s senior leadership team, subject matter experts, physician advisors, and external partners. You will have significant responsibility in leading strategic initiatives and contributing to the company’s long-term vision.

Working with the Special Projects team you will be on the implementation side of new markets and customized offerings. You will work to maintain a high level of customer service while streamlining workstreams to hand off the operations team.

This is an exciting time to join the DoctorCare team with growth plans slated in several new markets in 2022 as well as exciting strategic projects being launched in the next twelve months. The successful applicant will have the opportunity to help develop new programs in new markets; experiences that will contribute positively to any career.


Key Responsibilities:

Quickly come up to speed on DoctorCare’s existing technology, partnerships, and product offerings across Canada
Be responsible for research and business plans for new markets and strategic opportunities
Lead existing special project contracts currently underway while optimally managing resources
Provide project management support and contribute exceptional analytical skills to the Special Projects team in various capacities as needs are presented
Be the main point of contact for new enterprise customers as they implement DoctorCare’s billing solutions


Requirements:

Bachelor's degree or certification with a computing element, or equivalent knowledge gained through a combination of education and experience
You have exceptionally strong analytical skills. Technology and excel are your good friends and you love research
You have strong interpersonal and communication skills
You’re Organized. Able to stay focused while sorting through complex inputs and not get distracted by the less important.
You’re Smart. Able to quickly apply new knowledge to foreign situations.
You’re Resourceful. Able to learn independently and use new knowledge to solve problems.
You Hustle. Able to independently identify what needs to get done and have a bias towards action.
You’re Humble. Able to remove ego from discussion to identify the best solution to a problem. Able to honestly reflect on one’s own weakness and look for ways to improve.


Assets:

Healthcare IT experience
Project management experience
Experience working with data in excel and /or SQL.


DoctorCare is an equal opportunity employer that welcomes all applicants including persons with disabilities, visible minorities, women, and aboriginals. DoctorCare will provide reasonable accommodation to qualified job applicants with a disability, on request, and will notify successful applicants of policies relating to the accommodation of employees with disabilities. We would like to thank all applicants for their interest in DoctorCare, but please note that only successful candidates will be contacted.",3.3,"WELL Health Technologies Corp
3.3",Toronto,-1,Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
Business Systems Analyst ll-2,CA$87K - CA$136K (Employer est.),"Staff - Non Union
Job Category
M&P - AAPS
Job Profile
AAPS Salaried - Information Systems and Technology, Level D
Job Title
Business Systems Analyst ll-2
Department
OCIO | Program Delivery
Compensation Range
$7,278.33 - $11,372.33 CAD Monthly
Posting End Date
February 7, 2022
Note: Applications will be accepted until 11:59 PM on the day prior to the Posting End Date above.
Job End Date
Mar 1, 2023
Job Summary
UBC has embarked on a multi-year journey to transform its academic and administrative support processes and system environments for the entire UBC community. In November 2020, UBC successfully went live with its new HR and Finance implementation of Workday as part of Release 1. The Integrated Renewal Program (IRP) is now focused on the journey to renew the Student information ecosystem, anchored by the implementation of Workday Student.
In 2021, as part of IRP Release 1, UBC PRiSM and CISO teams performed a risk assessment which concluded with recommendations on how to increase adherence to UBC’s Information Security Standards for Workday-related projects. The outcome was initialization of the Security Threat Risk Assessment (STRA) project whose main objective is to design, build and test an enhanced logging and monitoring system which would, in turn, help identify, report, and mitigate security risks.
The Senior Business Systems Analyst for STRA will lead the analysis, design, build and test of proposed system features and its related procedures.
Initially the Business Systems Analyst II will lead the assessment of client needs in an effort to align business initiatives with information technology solutions. Specifically, the incumbent may be assigned responsibilities for specific work streams and will act as an advocate to champion the needs of those work streams. This will include coaching business decision makers, understanding the impact of technical changes on business processes and leveraging common approaches and resources between work streams.
This position also acts as a subject matter expert, and provides operational project management, business process analysis, systems support coordination, and application lifecycle management. The Business Systems Analyst also helps to design, implement, integrate and support complex or campus-wide vendor supplied and custom-built applications.

Organizational Status
The Solution Delivery Center (SDC) is a unit within the Integrated Renewal Program – Student responsible for developing technical solutions at UBC to enable the University, faculty, staff, students and partners to have business solutions developed with appropriate toolsets.
The SDC is responsible for the selection, acquisition or development, deployment, and operation of the suite of applications related to enterprise integrations. The SDC works closely with core UBC IT and IT Enabled project teams to ensure that all releases to production of solutions and supporting toolsets are of the required quality.
Services are delivered through the use of Information Technology best practices and customer focused processes to enable stakeholders to achieve UBC objectives. The business systems analyst will report to the applicable Senior Manager within the SDC.

Work Performed
Specific Duties:
Designs, implements and maintains infrastructure to facilitate efficient and effective use of logging and monitoring systems for day-to-day operations
Works with Subject Matter Experts, Business Analysts, Business Architects, and Solution Architects to document the business/functional requirements for application and data integrations ensuring that all factors enabling the technical design and implementation of the requirements are included at an appropriate level of detail.
Works with the programmer analysts and quality assurance staff to document and facilitate Enterprise Resource Planning (ERP) and Application Programming Interfaces (API)/Enterprise Data Objects (EDO) as well as any other software technical requirements.
Creates and Maintains the technical business documentation within the appropriate tools.
Works with the programmer analysts and quality assurance staff as a liaison for software related issues.
Coordinates the development and integration of applications with other UBC systems and services.
Perform in-depth troubleshooting using knowledge of network/server administration, internet protocols, database architecture, and application configuration.
Modifies applications and conducts testing of customizations to ensure specifications are met. Documents these changes and subsequent QA scenarios.
Provides custom reporting, data analysis and extracts.
Performs functional requirements to the software functional requirements and data mapping,
Assesses client needs utilizing a structured requirements process (gathering, analyzing, documenting, and managing changes) to identify business priorities and recommends options.
Identifies, elicits, and documents business requirements, defines business rules and communicates requirements for the implementation of solutions.
Performs formal system audits and develops written procedures, standards and practices to ensure a high level of availability, security, data integrity and hardware/software compatibility.
Generates reports on usage metrics, overall systems and applications performance indices using industry-standard methodologies to ensure compliance with Service Level Commitments.
Liaises directly and indirectly with vendors and other service owners.
Analyzes and reviews existing or proposed system features and integration, security, scalability and performance requirements with clients, business analysts, and team members.
Manages production and non-production application environments.
Maintains core application infrastructure, including virtual servers, networks and firewalls.
Plans and performs global configuration changes or module deployments for enterprise or complex applications.
Develops or modifies software code to meet specifications or facilitate integration.
Develops application documentation requirements for functions, modifications, backups and operating procedures. Provides ongoing maintenance and operational support for applications.
Core Duties:
Leads the assessment of client needs utilizing a structured requirements process (gathering, analyzing, documenting, and managing changes) to identify business priorities and recommends options.
Identifies, elicits, and documents business requirements, defines business rules and communicates requirements for the implementation of business solutions.
Communicates with stakeholders of varying technical ability and subject matter expertise.
Leads short-term planning sessions to implement integrated business process improvements and documents discussion and agreements.
Provides consultative services for the development of policies and procedures.
Analyzes metrics to ensure for client satisfaction.
Provides input to feasibility studies for standard development projects and enhancements.
Provides technical guidance and leadership to less-experienced individuals.
Prepares functional, system and program specifications.
Develops user test cases and validates test results during user acceptance testing and system acceptance testing stages. Typically performs functional testing.
May prepare project status reports and communicate status to client.
Maintains appropriate professional designations and up-to-date knowledge of current information technology techniques and tools.
Performs other related duties as required.

Consequence of Error/Judgement
Effective coding within the SDC is essential for the delivery of UBC IT services to the departments and faculties. Decisions and actions taken by the Programmer Analyst II will have a direct impact on how efficiently and effectively UBC Applications will perform and function.
The incumbent takes an active, participatory role in ensuring the reliability and availability of UBC mission critical 24x7x365 systems including application monitoring, tier 2 support, problem analysis and resolution, and ensuring services meet or exceed customer service levels at all times. Errors in judgment, poor planning, or failure to act decisively could have a detrimental effect on these systems. Unreliable systems and code errors that disrupt the reliable operations of these system will damage the reputation of the University.

Supervision Received
Reports directly to a Technical Project Manager within the SDC.
Works under general, day to day, direction of the Senior Manager, IRP Student and Technical Lead.

Supervision Given
Occasional team and/or matrix supervision of staff as applicable on specific projects.
Provides input/recommendations into the hiring and evaluation of staff.

Minimum Qualifications

Undergraduate degree in a relevant discipline. In-depth knowledge of applications and the business requirements supporting them. Minimum of five years of related experience, or the equivalent combination of education and experience.


Preferred Qualifications
Technical school diploma in computing systems technology is an asset. Experience and in-depth knowledge of applications and the business requirements supporting them is an asset. Extensive experience with Microsoft Windows and Linux operating systems in a complex network environment. In-depth knowledge and experience of applications and supporting business requirements. Experience with data analysis and modeling, relevant development tools, specific application and system architecture. Expertise in the design, development and implementation of specific applications. Knowledge and experience of application development tools including; HTML, ASP .NET, PHP and Java. Knowledge and experience with all industry standard web servers (i.e. Microsoft Internet Information Server, Apache, etc.). Experience creating custom and modifying packaged reports with various reporting technologies (i.e Crystal Reports). Experience working with both technical and non-technical clients. Ability to effectively manage multiple tasks and priorities while working under pressure to meet critical, time sensitive deadlines. Strong organizational and planning skills.
Knowledge of Java/Mulesoft SDLC
Knowledge of ELK, AWS configuration
Experience with data mapping
Experience with Integrations Testing
Experience with Logging and Monitoring
Good understanding network/server administration
Core Competencies:
Collaboration (Intermediate - I): Actively solicits ideas and opinions from others to efficiently and effectively accomplish specific objectives targeted at defined business outcomes. Openly encourages other team members to voice their ideas and concerns. Shows respect for differences and diversity, and disagrees without personalizing issues. Utilizes strengths of team members to achieve optimal performance.
Communicating for Results (Intermediate - I): Conducts discussions with and writes memoranda to all levels of colleagues and peer groups in ways that support troubleshooting and problem solving. Seeks and shares relevant information, opinions, and judgments. Handles conflict empathetically. Explains the context of interrelated situations, asks probing questions, and solicits multiple sources of advice prior to taking action when appropriate.
Problem Solving (Intermediate - I): Applies problem-solving methodologies and tools to diagnose and solve operational and interpersonal problems. Determines the potential causes of the problem and devises testing methodologies for validation. Shows empathy and objectivity toward individuals involved in the issue. Analyzes multiple alternatives, risks, and benefits for a range of potential solutions. Recommends resource requirements and collaborates with impacted stakeholders.
Role Based Competencies:
Analytical Thinking (Intermediate – I): Coordinates the information gathering and reporting process. Reviews trends and compares to expectations. Conducts research to define problems and prepares responses to anticipated questions. Prioritizes multiple issues and opportunities. Identifies relationships and linkages within several information sources. Anticipates issues that are not readily apparent on the surface. Identifies root causes and effects. Defines priorities within performance objectives. Reports and identifies areas that need guidance in order to resolve complex issues. Anticipates the possible outcome of potential solutions.
Business Process Knowledge (Intermediate - I): Maps full business processes and designs operational process flow. Facilitates group input and drafts proposals for process improvements. Identifies resource implications. Implements process improvement recommendations within the context of overall business processes.
Initiative (Intermediate – I): Seeks out new challenges that require risk taking. Determines the resources, team support, and technical needs necessary to enable success and procures them. Keeps responding to the challenge in spite of obstacles and setbacks",4.3,"University of British Columbia
4.3",Vancouver,-1,10000+ Employees,1915,College / University,Colleges & Universities,Education,$2 to $5 billion (USD),-1
Healthcare Business Analyst,,"Job Title: Healthcare Business AnalystLocation: FULL REMOTE – MST work hours – Any where in Canada(Rates in USD ONLY)Duration: 12+ MonthsKey Skill /Skill Specialization: Healthcare BAMandatory Skills: · SQL, Data warehouse, Reporting and integration BA experience.Healthcare experience MUST· Excellent Communication and Presentation Skills· Requirement Gathering, Experience Interacting with Data Scientists and Business StakeholdersJob Description: · Expertise in data analyst and SQL, Creative thinker· Assure solutions align with the customer’s functional and non-functional requirements.· Provide regular updates of project progress and outstanding issues.· Collaborate with customers.· Comply with corporate standards and government regulations.· Contribute to team development through support and collaboration with remote team members.· Continued personal technical growth.· Contribute technical educational sessions to the team.Job Types: Full-time, Fixed term contractContract length: 6 monthsPay: $40.00-$55.00 per hourSchedule:8 hour shiftExperience:Healthcare industry: 4 years (preferred)Data & Technical Business Analysis: 9 years (required)",-1,Peopleforce Consulting,Toronto,-1,Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
Business Analyst,-1,"Business Analyst
Who Are We?
Total Credit Recovery Limited (TCR) is the largest Canadian-owned receivables management company, servicing most major Canadian credit grantors. TCR is a progressive company, with over 600 employees in 4 offices across the country.
What Will You Do?
We are looking for a passionate and committed individual to join our growing Analytics team. This is a fantastic opportunity for you to take the lead on an array of exciting projects and bring innovative solutions of your own design to our company.
In your position, you will:
Collaborate with a dynamic team on the creation and implementation of strategic projects
Lead new initiatives to improve processes and increase value for the business
Design and build new datasets and monitoring suites, leveraging business intelligence tools
Conduct analysis and present insights to business leaders in monthly meetings
Provide consultation to key clients on strategies and business trends
Research and implement new techniques and emerging technologies
Receive ongoing training and coaching through the TCR Mentorship Program
Who Are You?
Holds an undergraduate degree
Strong quantitative skills with a working knowledge of statistics
Excellent problem solver who leverages data and analytics, in conjunction with solid judgement and intuition, to make decisions
Fluent with data management and analysis tools like Microsoft Excel, SQL Server
Proficient programming skills in SQL, R, or Python
Excellent communication and interpersonal skills
Highly motivated, self-starter, with an ability to thrive in a fast-paced environment
Results-focused, with a passion for business and delivering high quality work on time
What We Offer:
Competitive salary
Continuing education reimbursement
Great benefits including medical, dental and optical plans
Friendly and fun work environment
Opportunities for advancement
Total Credit Recovery Limited is proud to be an equal opportunity employer. We are committed to offering equal employment opportunities and fostering an inclusive, equitable and accessible environment. We welcome applications from persons representing the diversity of our community. Please notify us if you require accommodation at any time during the recruitment process.
For more on this and other employment opportunities at Total Credit Recovery Limited please visit our website.",2.9,"Total Credit Recovery Limited
2.9",Toronto,-1,501 to 1000 Employees,1980,Self-employed,Investment Banking & Asset Management,Finance,$25 to $50 million (USD),-1
Business Analyst,CA$68K - CA$90K (Glassdoor est.),"Position Description:
Business Analyst (RFC-2022-004)

Eligible for Secret Clearance
Remote: Yes, until after COVID
Must be fully vaccinated against COVID-19 with vaccines approved for use in Canada.

Be part of building one of the largest independent technology and business services firms in the world.
Operating in hundreds of locations across the globe, CGI is counted on every day to help our clients create business value, and to protect that value with a diverse team of passionate cyber professionals delivering innovative solutions.
Your future duties and responsibilities:
Project coordination including scheduling and coordinating meetingsPreparing, reviewing, and distributing meeting presentations and documentationDrafting, reviewing, and distributing external and internal communicationProviding tactical guidanceMonitoring workload, planning and issue resolutionProject records managementParticipate in working groupsLiaison with external consultantsContribute to the development of project policy and processesContribute to activities related to governance and reportingDocumenting and following up on important actions and decisions from meetingsPreparing necessary presentation materials for meetings.Providing administrative support as neededOther related activities and deliverables as required
Required qualifications to be successful in this role:
University Degree or College Diploma in business administrationA minimum of three (3) years of demonstrated experience in the field of business analysisA minimum of three (3) years of demonstrated experience working in a client-facing environmentDemonstrated ability working autonomously, switching between multiple projects and environments as required to deliver high-priority items quicklyDemonstrated analytical and communication (verbal/written) skills in EnglishDemonstrated experience working in a project delivery environmentDemonstrated proficiency in the use of Microsoft’s suite of toolsUnderstanding of procurement, legal and institutional frameworks, intellectual property rights, law enforcement issuesUnderstanding of computer hardware and software industry practices and standardsUnderstanding of central bank practices and security standards
Additional Qualifications The following will also be considered:
Demonstrated industry certification such as International Institute of Business Analysis (IIBA), Certified Business Analysis Professional (CBAP) designation, Project Management Professional (PMP) CertificationDemonstrated understanding of business process management methodology (Six Sigma, Kanban, etc.)
What you can expect from us:
Build your career with us.

It is an extraordinary time to be in business. As digital transformation continues to accelerate, CGI is at the center of this change—supporting our clients’ digital journeys and offering our professionals exciting career opportunities.

At CGI, our success comes from the talent and commitment of our professionals. As one team, we share the challenges and rewards that come from growing our company, which reinforces our culture of ownership. All of our professionals benefit from the value we collectively create.

Be part of building one of the largest independent technology and business services firms in the world.

Learn more about CGI at www.cgi.com.

No unsolicited agency referrals please.

CGI is an equal opportunity employer. In addition, CGI is committed to providing accommodations for people with disabilities in accordance with provincial legislation. Please let us know if you require a reasonable accommodation due to a disability during any aspect of the recruitment process and we will work with you to address your needs.",3.8,"CGI Inc
3.8",Ottawa,-1,10000+ Employees,1976,Company - Public,Consulting,Business Services,$10+ billion (USD),-1
"Junior Analyst, Business Analytics",-1,"We’re building a relationship-oriented bank for the modern world. We need talented, passionate professionals who are dedicated to doing what’s right for our clients.
At CIBC, we embrace your strengths and your ambitions, so you are empowered at work. Our team members have what they need to make a meaningful impact and are truly valued for who they are and what they contribute.
To learn more about CIBC, please visit CIBC.com
Job Description
What You’ll Be Doing
As a Junior Analyst, you will work on a team of consultants to primarily support managing service and access requests from various LOB’s on/off boarding new staff . You will be equally acting as a consultant on a variety of projects and accelerators representing Simplii’s operations teams, its interfaces, back office functions and the related systems on which we depend.
At CIBC we enable the work environment most optimal for you to thrive in your role. Details on your work arrangement will be discussed at the time of your interview.
How You’ll Succeed
Application of your Deep Knowledge - Using your years of experience with Simplii and material technical knowledge to resolve client escalations that could not be resolved through our front line channels while looking for trends and eliminating recurrence when possible.
Successful Project Delivery – Consult on a variety of projects, initiatives and accelerators driving the requirements and solution ensuring they are compliant, effective and have the client at the forefront.
Active Program Support – Develop procedures from established process, create user documentation and provide training support.
Implementation support – Verification of changes in production to ensure there is no client impact and all is operating as designed.
Who you are:
 You put our clients first. You engage with purpose to find the right solutions. You go the extra mile, because it's the right thing to do.
 You're driven to succeed. You are motivated by accomplishing your goals and delivering your best to make an impact.
 You engage with your heart and mind. You care about people and understand different perspectives. You listen and learn from the experiences of others.
 You understand that success is in the details. You notice things that others don't. Your critical thinking skills help to inform your decision making.
 You act like an owner. You thrive when you're empowered to take the lead, go above and beyond, and deliver results.
What CIBC offers
At CIBC, your goals are a priority. We start with your strengths and ambitions as an employee and strive to create opportunities to tap into your potential. We aspire to give you a career, rather than just a paycheck.
We work to recognize you in meaningful, personalized ways including a competitive salary, incentive pay, banking benefits, a health benefits program, defined benefit pension plan, an employee share purchase plan and MomentMakers , our social, points-based recognition program .
Our spaces and technological toolkit will make it simple to bring together great minds to create innovative solutions that make a difference for our clients .
We cultivate a culture where you can express your ambition through initiatives like Purpose Day; a paid day off dedicated for you to use to invest in your growth and development
What you need to know
CIBC is committed to creating an inclusive environment where all team members and clients feel like they belong. We seek applicants with a wide range of abilities and we provide an accessible candidate experience. If you need accommodation, please contact Mailbox.careers-carrieres@cibc.com
You need to be legally eligible to work at the location(s) specified above and, where applicable, must have a valid work or study permit
CIBC is committed to doing our part to protect our team, our clients and our communities. We want to ensure we have a safe and healthy workplace, and we want to do our part to get through this pandemic. In keeping with this commitment, and as a condition of employment, CIBC requires all successful candidates to be fully vaccinated against COVID-19 as of their start date, or provide written proof of a medical exemption, or other substantiated accommodation request under applicable human rights legislation.
Job Location
Toronto-161 Bay St., 4th
Employment Type
Regular
Weekly Hours
37.5
Skills",3.9,"CIBC
3.9",Toronto,-1,10000+ Employees,1867,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1
Business Analyst,CA$64K - CA$93K (Glassdoor est.),"Want to make a difference in your career? Consider this opportunity!Reporting to the Manager of Operations, the Business Analyst will work in collaboration with teams within the health technology assessment and quality standard programs within the CIQP department, as well as across Ontario Health. The Business Analyst will contribute to the planning, coordination, production and evaluation of producing high-quality reports that support Ontario Health’s mandate of promoting health care that is supported by the best available evidence.With the support of a cross-functional team, the Business Analyst will support the development and execution of project plans as well as develop and maintain process and project documentation to ensure effective and efficient project delivery. This is a multi-faceted position requiring excellent verbal and written communication, external partner engagement, and strong project management skillsHere is what you will be doing: Working closely with the Project Managers, develop project charters, schedules, plans, risk and issue logs and other project documentationSupport teams in effectively planning projects from initiation to close, with a focus on integrated internal coordinationMonitor project progress and project risk; determine overall impact of risks and identify resolutions, escalate to Manager, and implement contingency plans once approved by ManagerDevelop tools, templates, and other documentation to support advancement of project management practices to support project needsSupport or facilitate effective internal project meetings, as well as develop agendas, prepare materials, and take minutesCoordinate change control procedures to facilitate compliance with standards and best practicesSupport and coordinate the planning and development of advisory committeesPlan and support meetings with external partners, including documentation to support the governance of these meetingsCoordinate activities for report implementation and production release, ensuring compliance with standards and procedures, including internal approvals process and translation requirements, when applicableCoordinate post-implementation support activities, ensuring operational documentation and system support plans are in place and maintaining and archiving core project documentsSupport compliance with Project Management Office and organizational methodologies, templates, and processesDevelop relationships with Manager and Project Managers to ensure project plan deliverables are effectively coordinated and issues are resolvedDevelop strong relationships with colleagues across the organization to understand business and operations activitiesCommunicate project status effectively to relevant partners, anticipating their information needsWork with external and internal partners to ensure delivery of services or products to defined standards, within the defined timeHere is what you will need to be successful: Education and ExperienceUndergraduate degree in Business Administration or Health-Related Discipline (Health Sciences, Health Informatics, Health Administration or equivalent) with Project Management experience.2 years’ related work experience in a Project Coordinator or equivalent role (minimum)4+ years’ related work experience in a Project Coordinator or equivalent role (preferred)Knowledge and SkillsStrong organizational skillsSound knowledge of analysis, problem solving, and structured approaches to identifying solutionsExcellent MS Office Suite skills, in particular Outlook, Word, PowerPoint, Visio and Excel, as well as MS SharePoint and MS Project, MS TeamsProven ability to respond to a wide variety of issues and deal with unclear situations and conflicting demandsExcellent judgment in setting priorities, identifying issues, and determining action required; adept at balancing major concurrent tasks and projectsAbility to work autonomously within the overall context of a project groupStrong communication skills (written and oral) with internal and external partnersProgressing toward PMP or equivalent designationPMP certification or equivalent (preferred)Employment Location: Ontario (Currently Virtually)Employment Type: Perm Full TimeAs part of the initial recruitment screening process, Applicants must confirm that they are Fully Vaccinated against COVID-19. If Applicants are not Fully Vaccinated, they will be asked to identify any accommodation needs pursuant to a protected ground under the Code . If no such accommodation is identified, the Applicant will not be eligible to proceed through the recruitment process.Job Posting Close Date:February 6, 2022Job Types: Full-time, Permanent",3.6,"Ontario Health
3.6",Toronto,-1,10000+ Employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,-1
Business Analyst,CA$55 - CA$60 Per Hour(Employer est.),"Job DescriptionBelow are the detailed activities will be performed by Business Analyst -Lifecycle management of all defects within all development and pre-production environments.  * Lead/chair daily triage calls with representation from QA/Testing Teams, Technology Development, Rogers Partners, Business Leads, Development Leads, etc. and to provide clear minutes and actions.Initiate and manage escalation process for any defects exceeding SLAs.Maintaining absolute integrity of the defect database and ensure all changes to defect status are within the guidelines of the defect management process. * Develop defect status reports and trending reports.Identify and implement process & tools improvements for defect prevention and/or to improve defect resolution times.Triage defects by assigning appropriate priority, determining ownership of the defect, and routing the defect to the appropriate resource.Collaborate with QA/Testing and Release/Change Management teams to maintain awareness of new code changes, new test cycles, ongoing automation test results and new defects, bug fix scheduling and retesting.Work with Business teams to defer the defects and ensure timely action on defectsContract length: 6 monthsExpected Start Date: 20/1/2022Job Types: Full-time, ContractSalary: $55.00-$60.00 per hourSchedule:8 hour shiftWork remotely:Yes",-1,Zenith System Solutions Inc.,Toronto,-1,201 to 500 Employees,-1,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,-1
"Senior Business Analyst, Omni",-1,"What is the opportunity?
In this role, you will be responsible for business analysis activities on medium to large size projects. You will demonstrate advanced knowledge and ability, and can apply the competency in new or complex situations and guides other professionals. You will be responsible for execution of all aspects of requirements delivery- planning, elicitation, analysis and documentation, management, and support - for changes to Business Areas and Technology.
What will you do?
Perform requirements stakeholder analysis to identify impacted or influencing groups and stakeholder requirements responsibilities
Develop plans and accurate estimates for completion of requirements, continuously improving the level of detail and accuracy of estimates
Lead requirements prioritization and leverage techniques to drive out business priorities
Facilitate collaborative sessions with large and diverse business stakeholder groups to drive requirements discovery, analysis, and review
Analyze and document detailed business and system solution requirements using enterprise standard requirements methodology
Verify requirements for quality and validate requirements with the impacted stakeholders
Build and maintain a repository of reusable requirements documentation to support future initiatives, following the enterprise standards
Apply advanced coverage analysis techniques to ensure relationship between scope, detailed requirements, and testing through to implementation
What do you need to succeed?
Must have:
5 + years of working experience as a Business Analyst and/or Business Systems Analyst
Experience with user stories, business and systems specification, business context diagrams and business process maps
Experience working on Digital (Online and Mobile) banking projects
Experience working on Agile projects
Working knowledge of JIRA and Confluence
Requirements management and communication – requirements walkthroughs; scope and change management; traceability; configuration management, Backlog Management
Nice to have:
Certified Business Analysis Professional (CBAP) or Project Management Institute –Professional in Business Analysis Certification (PMI – PBA)
Masters Certificate in Business Analysis
What’s in it for you?
We thrive on the challenge to be our best, progressive thinking to keep growing, and working together to deliver trusted advice to help our clients thrive and communities prosper. We care about each other, reaching our potential, making a difference to our communities, and achieving success that is mutual.
Ability to make a difference and lasting impact
Work in a dynamic, collaborative, progressive, and high-performing team
Opportunities to do challenging work
RBC is committed to supporting flexible work arrangements when and where available. Details to be discussed with Hiring Manager.
RBC requires as a condition of employment that all successful candidates in the United States and Canada be fully vaccinated against COVID-19 prior to their start date, and may require proof of the same. Reasonable accommodation is available where required by law.
Join our Talent Community
Stay in-the-know about great career opportunities at RBC. Sign up and get customized info on our latest jobs, career tips and Recruitment events that matter to you.

Expand your limits and create a new future together at RBC. Find out how we use our passion and drive to enhance the well-being of our clients and communities at jobs.rbc.com.

JOB SUMMARY
City: Toronto
Address: 88 Queens Quay
Work Hours/Week: 37.5
Work Environment: Office
Employment Type: Permanent
Career Level: Experienced Hire/Professional
Pay Type: Salaried
Required Travel (%): 0
Exempt/Non-Exempt: N/A
People Manager: No
Application Deadline: 02/04/2022
Platform: Personal & Commercial Banking
Req ID: 445519
Ad Code(s):",4.1,"RBC
4.1",Toronto,-1,10000+ Employees,1869,Company - Public,Banks & Credit Unions,Finance,$10+ billion (USD),-1
