Hotel Name,Customer Name,Rating,Country,Comment
Grace Cox Smart Hotel,Ripon,10,United Kingdom,"“Well location , new building & well maintained “"
Grace Cox Smart Hotel,Md,7.0,Bangladesh,Staff behaviour was excellent. There was no question about their cleanness and security.
Grace Cox Smart Hotel,Abu,9.0,Bangladesh,Superb
Grace Cox Smart Hotel,Wasim,7.0,Bangladesh,Good
Grace Cox Smart Hotel,Shahed,9.0,Bangladesh,Superb
Grace Cox Smart Hotel,Yug,9.0,Bangladesh,Absoultely loved the stay. Would definitely visit again.
Grace Cox Smart Hotel,Aswar,9.0,United States,I have stayed at a much more expensive hotel nearby. I'd choose Grace Cox every time!
Grace Cox Smart Hotel,Md,9.0,Bangladesh,See u again... Grace Cox's
Grace Cox Smart Hotel,Ibban,8.0,Bangladesh,Very good
Grace Cox Smart Hotel,William,9.0,United States,Good place to stay in Cox's Bazar
Grace Cox Smart Hotel,Jahid,7.1,Bangladesh,Good
Grace Cox Smart Hotel,Md,8.0,Bangladesh,Very good
Grace Cox Smart Hotel,Sabwa,6.7,Bangladesh,GraceCox - Smart Hotel
Grace Cox Smart Hotel,Asif,9.2,Bangladesh,Superb
Grace Cox Smart Hotel,Backpackerswede,7.5,Sweden,Good
Grace Cox Smart Hotel,Jason,9.2,Bangladesh,Empathetic team made me feel at home
Grace Cox Smart Hotel,Md,8.8,Bangladesh,Experience people who knows what how to do hotel business.
Grace Cox Smart Hotel,Monirul,8.8,Bangladesh,Fabulous
Grace Cox Smart Hotel,Saikat,9.2,Bangladesh,Superb
Grace Cox Smart Hotel,German,10,Germany,Nice
Grace Cox Smart Hotel,Faroque,10,Bangladesh,Great!
Grace Cox Smart Hotel,Shah,5.0,United States,Passable
Grace Cox Smart Hotel,Paul,2.0,United States,Very poor
Grace Cox Smart Hotel,Nizam,6.0,Canada,Pleasant
Grace Cox Smart Hotel,Nujhat,5.0,Bangladesh,Passable
Grace Cox Smart Hotel,Vincent,10,France,Exceptional
Grace Cox Smart Hotel,Galib,10,United Kingdom,Customer service has exceeded my expectations!
Grace Cox Smart Hotel,Aminur,10,Malaysia,Perfection
Grace Cox Smart Hotel,Shafiqul,10,Bangladesh,Exceptional
Grace Cox Smart Hotel,Tanzim,10,Bangladesh,It was in a emergency
Grace Cox Smart Hotel,Nabila,6.0,Bangladesh,Good
Grace Cox Smart Hotel,Sabbir,10,Bangladesh,I really enjoyed the time being at Grace Cox. Everyone was positive and supportive.
Grace Cox Smart Hotel,Atika,10,Bangladesh,Really enjoy my stay. All staffs were well behaved towards me. Love their food also.
Grace Cox Smart Hotel,Shamsul,10,Bangladesh,My stay was above & beyond.
Grace Cox Smart Hotel,Abdul,10,Bangladesh,very comfort and tramendous
Grace Cox Smart Hotel,Tisha,6.0,Bangladesh,Pleasant
Grace Cox Smart Hotel,Waternymph,4.0,Russia,Disappointing
Grace Cox Smart Hotel,Sarif,4.0,Bangladesh,Disappointing
Grace Cox Smart Hotel,Zeba,6.0,Bangladesh,Mini vaca
Grace Cox Smart Hotel,Mohammed,10,United Kingdom,Excellent and everything was perfect
Grace Cox Smart Hotel,Alexandre,10,Portugal,Amazing experience.
Grace Cox Smart Hotel,Farahdiba,10,Bangladesh,"Better than expected when comparing the rates, clean and comfortable."
Grace Cox Smart Hotel,Mohammad,5.0,Bangladesh,Not value for money.
