Movie Title,Duration,Rating,Release Year,Genre
Home Alone,103 min,7.6,1990,"Comedy, Family"
Harry Potter and the Sorcerer's Stone,152 min,7.6,2001,"Adventure, Family, Fantasy"
The Matrix,136 min,8.7,1999,"Action, Sci-Fi"
How the Grinch Stole Christmas,104 min,6.2,2000,"Comedy, Family, Fantasy"
Avengers: Endgame,181 min,8.4,2019,"Action, Adventure, Drama"
Spider-Man,121 min,7.3,2002,"Action, Adventure, Sci-Fi"
The Shawshank Redemption,142 min,9.3,1994,Drama
Knives Out,130 min,7.9,2019,"Comedy, Crime, Drama"
Little Women,135 min,7.8,2019,"Drama, Romance"
Gisaengchung,132 min,8.6,2019,"Comedy, Drama, Thriller"
Interstellar,169 min,8.6,2014,"Adventure, Drama, Sci-Fi"
Klaus,96 min,8.2,2019,"Animation, Adventure, Comedy"
Titanic,194 min,7.8,1997,"Drama, Romance"
Joker,122 min,8.4,2019,"Crime, Drama, Thriller"
The Polar Express,100 min,6.6,2004,"Animation, Adventure, Comedy"
Promising Young Woman,113 min,7.5,2020,"Crime, Drama, Mystery"
Once Upon a Time in... Hollywood,161 min,7.6,2019,"Comedy, Drama"
Spider-Man 2,127 min,7.3,2004,"Action, Adventure, Sci-Fi"
The Wolf of Wall Street,180 min,8.2,2013,"Biography, Comedy, Crime"
The Lord of the Rings: The Fellowship of the Ring,178 min,8.8,2001,"Action, Adventure, Drama"
The Dark Knight,152 min,9.0,2008,"Action, Crime, Drama"
Blade Runner 2049,164 min,8.0,2017,"Action, Drama, Sci-Fi"
Nocturnal Animals,116 min,7.5,2016,"Drama, Thriller"
Inception,148 min,8.8,2010,"Action, Adventure, Sci-Fi"
Tenet,150 min,7.4,2020,"Action, Sci-Fi, Thriller"
Spectre,148 min,6.8,I 2015,"Action, Adventure, Thriller"
Avengers: Infinity War,149 min,8.4,2018,"Action, Adventure, Sci-Fi"
Spider-Man: Into the Spider-Verse,117 min,8.4,2018,"Animation, Action, Adventure"
Harry Potter and the Goblet of Fire,157 min,7.7,2005,"Adventure, Family, Fantasy"
Goodfellas,146 min,8.7,1990,"Biography, Crime, Drama"
Pulp Fiction,154 min,8.9,1994,"Crime, Drama"
Pride & Prejudice,129 min,7.8,2005,"Drama, Romance"
Fight Club,139 min,8.8,1999,Drama
Harry Potter and the Deathly Hallows: Part 2,130 min,8.1,2011,"Adventure, Fantasy, Mystery"
Gladiator,155 min,8.5,2000,"Action, Adventure, Drama"
1917,119 min,8.3,2019,"Action, Drama, War"
The Green Mile,189 min,8.6,1999,"Crime, Drama, Fantasy"
Gone Girl,149 min,8.1,2014,"Drama, Mystery, Thriller"
Inglourious Basterds,153 min,8.3,2009,"Adventure, Drama, War"
Fifty Shades of Grey,125 min,4.1,2015,"Drama, Romance, Thriller"
The Girl with the Dragon Tattoo,158 min,7.8,2011,"Crime, Drama, Mystery"
Se7en,127 min,8.6,1995,"Crime, Drama, Mystery"
Guardians of the Galaxy,121 min,8.0,2014,"Action, Adventure, Comedy"
Prisoners,153 min,8.1,2013,"Crime, Drama, Mystery"
Forrest Gump,142 min,8.8,1994,"Drama, Romance"
Schindler's List,195 min,8.9,1993,"Biography, Drama, History"
Django Unchained,165 min,8.4,2012,"Drama, Western"
Harry Potter and the Prisoner of Azkaban,142 min,7.9,2004,"Adventure, Family, Fantasy"
Boogie Nights,155 min,7.9,1997,Drama
Jojo Rabbit,108 min,7.9,2019,"Comedy, Drama, War"
Skyfall,143 min,7.8,2012,"Action, Adventure, Thriller"
Requiem for a Dream,102 min,8.3,2000,Drama
No Country for Old Men,122 min,8.1,2007,"Crime, Drama, Thriller"
Bohemian Rhapsody,134 min,7.9,2018,"Biography, Drama, Music"
Ready Player One,140 min,7.4,2018,"Action, Adventure, Sci-Fi"
Sicario,121 min,7.6,2015,"Action, Crime, Drama"
Call Me by Your Name,132 min,7.9,2017,"Drama, Romance"
Suicide Squad,123 min,5.9,2016,"Action, Adventure, Fantasy"
The Father,97 min,8.3,I 2020,"Drama, Mystery"
Jurassic Park,127 min,8.1,1993,"Action, Adventure, Sci-Fi"
